Sample-#, CA-V, CA-I, CB-V, CB-I 
0.0, 0.501497387886, 9.37252119184, 3.70144319534, -0.332654162776
1e-05, 0.501184880733, 9.5732184127, 3.68380570412, -0.426391256042
2e-05, 0.501106739044, 9.62000992149, 3.66624641418, -0.504505471326
3e-05, 0.501028597355, 9.47183649987, 3.64892101288, -0.566996866837
4e-05, 0.500794172287, 9.40164923668, 3.63182997704, -0.535751169082
5e-05, 0.500872313976, 9.39385034144, 3.61473894119, -0.512316939421
6e-05, 0.500872313976, 9.5264269039, 3.5978038311, -0.527939759195
7e-05, 0.500794172287, 9.44064185023, 3.58102488518, -0.434202665929
8e-05, 0.500716030598, 9.50303114951, 3.56432390213, -0.418579817051
9e-05, 0.500716030598, 9.54202376306, 3.54793524742, -0.395145558286
0.0001, 0.500637888908, 9.51862800866, 3.53146839142, -0.598242564593
0.00011, 0.500559747219, 9.53422486782, 3.51515769958, -0.543562578969
0.00012, 0.500559747219, 9.44064185023, 3.49900317192, -0.543562578969
0.00013, 0.500559747219, 9.44064185023, 3.48284840584, -0.379522709409
0.00014, 0.50048160553, 9.43284388632, 3.46692800522, -0.340465601766
0.00015, 0.50048160553, 9.46403760463, 3.45100736618, -0.402956997277
0.00016, 0.500559747219, 9.56541951746, 3.43532109261, -0.418579817051
0.00017, 0.500637888908, 9.30026732385, 3.41963481903, -0.473259802675
0.00018, 0.50048160553, 9.42504499108, 3.40410447121, -0.465448363684
0.00019, 0.500637888908, 9.53422486782, 3.38849616051, -0.434202665929
0.0002, 0.50040346384, 9.47963539511, 3.3732779026, -0.590431154706
0.00021, 0.50048160553, 9.58881527185, 3.35790371895, -0.426391256042
0.00022, 0.50040346384, 9.51082911342, 3.34276366234, -0.488882651553
0.00023, 0.50040346384, 9.46403760463, 3.3277797699, -0.449825514806
0.00024, 0.50040346384, 9.41724609584, 3.31271767616, -0.473259802675
0.00025, 0.500325381756, 9.51082911342, 3.2978117466, -0.543562578969
0.00026, 0.50048160553, 9.54202376306, 3.28313994408, -0.535751169082
0.00027, 0.50040346384, 9.48743335903, 3.26838994026, -0.379522709409
0.00028, 0.50040346384, 9.50303114951, 3.25379610062, -0.44201410492
0.00029, 0.50048160553, 9.4094472006, 3.23920249939, -0.473259802675
0.0003, 0.50048160553, 9.39385034144, 3.22484278679, -0.371711299522
0.00031, 0.500325381756, 9.56541951746, 3.21048307419, -0.449825514806
0.00032, 0.50048160553, 9.47183649987, 3.19612336159, -0.457636953797
0.00033, 0.50048160553, 9.58101637661, 3.18207597733, -0.44201410492
0.00034, 0.500325381756, 9.5732184127, 3.16787242889, -0.481071212562
0.00035, 0.50040346384, 9.56541951746, 3.15382480621, -0.449825514806
0.00036, 0.500325381756, 9.43284388632, 3.140011549, -0.379522709409
0.00037, 0.500325381756, 9.48743335903, 3.12612009048, -0.496694061439
0.00038, 0.500325381756, 9.55762062222, 3.11238479614, -0.551374047063
0.00039, 0.50040346384, 9.47963539511, 3.09872746468, -0.457636953797
0.0004, 0.500325381756, 9.42504499108, 3.08514809608, -0.488882651553
0.00041, 0.500325381756, 9.44844074547, 3.07156896591, -0.527939759195
0.00042, 0.50040346384, 9.3860514462, 3.05806779861, -0.44201410492
0.00043, 0.50040346384, 9.5498226583, 3.04472255707, -0.543562578969
0.00044, 0.500325381756, 9.44844074547, 3.03145551682, -0.402956997277
0.00045, 0.50040346384, 9.54202376306, 3.01818847656, -0.457636953797
